Chave|Nº Item|EAN|Reg. Anvisa|CódigoProd|NomeProd|NCM|Quantidade|Valor Unitário|Valor Total|Base ST Retido XML|ICMS ST XML|Alíquota|PMC|PMC 12|PMC 18|Concessão|Tipo Produto|Fator Redução
35180527849963000110550010001697621001692320|11|7898623351011||154864|TESTE CONCARE CANETA GRAVIDEZ|38220010|24.0|3.24|77.76|||18|25.20|||||27.88
35180527849963000110550010001697621001692320|12|7898623351028||154849|SPRAY CONCARE ANTISSEPTIC 45ML|34011110|16.0|1.83|29.28|||18|23.39|||||27.88
35180527849963000110550010001697621001692320|13|7898623351257||36459|MANTEIGA DE CACAU BAST LEBL/FC|33049990|100.0|0.6|60.00|0.00|0.00|25|1.99|||||27.88
35180527849963000110550010001697621001692320|14|7898623351271||52902|AGUA GARRAFA 510ML FC/CONLIFE|22011000|12.0|0.64|7.68|0.00|0.00|18|2.29|||||27.88
35180527849963000110550010001697621001692320|15|7898623351592||161042|FR CONCARE GERIATRICA G 8UN|96190000|12.0|8.55|102.60|130.20|12.60|18|14.98|||||27.88
35180527849963000110550010001697621001692320|16|0611269991000||179234|RED BULL ENERGY 250ML|22029900|4.0|4.91|19.64|0.00|0.00|18|7.99|||||27.88
35180527849963000110550010001697621001692320|17|7500435122238||187534|FR PAMPERS PANTS CONF MEG G34|96190000|3.0|33.59|100.77|0.00|0.00|18|41.99|||||27.88
35180527849963000110550010001697621001692320|18|7506339391312||51474|FR PAMPERS SUPERSEC M C/30|96190000|6.0|18.56|111.36|0.00|0.00|18|24.99|||||27.88
35180527849963000110550010001697621001692320|19|7791293035000||188607|DES SUAVE AER M SPORT FR|33072010|36.0|3.82|137.52|182.16|28.08|18|6.99|||||27.88
35180527849963000110550010001697621001692320|20|7891000062760||918383|LEITE NESTOGENO 2 800G|19011010|6.0|25.51|153.06|185.16|16.86|18|31.89|||||27.88
35180527849963000110550010001697621001692320|21|7891010941901||45062|NEUTROGENA BODY CARE INT 400ML|33072090|6.0|16.27|97.62|0.00|0.00|18|19.90|||||27.88
35180527849963000110550010001697621001692320|22|7891522022143||119990|FR CAPRICHO SENSATY PREM EG 16|96190000|4.0|31.14|124.56|149.76|14.48|18|41.99|||||27.88
35180527849963000110550010001697621001692320|23|7894916146234|1677304510078|140699|CITR. SILDENAFILA LEG 50MG 4 COMP|30049099|60.0|3.32|199.20|1026.60|111.00|12|22.11|24.59|26.59|NEGATIVA|Genérico|41.36
35180527849963000110550010001697621001692320|24|7894916149679|1677304080073|179309|TADALAFILA 20MG 1 S LEGRAND|30049079|60.0|2.49|149.40|687.60|73.20|12|19.80|33.58|36.04|POSITIVA|Genérico|27.88
35180527849963000110550010001697621001692320|25|7896012800829||57430|FR BIGFRAL PLUS MD C/9|96190000|8.0|16.51|132.08|170.72|16.16|18|21.85|||||27.88
35180527849963000110550010001697621001692320|26|7896012802441||183269|FR BIGFRAL PLUS GD C/16|96190000|8.0|33.14|265.12|341.36|32.48|18|42.99|||||27.88
35180527849963000110550010001697621001692320|27|7896138700072||826958|SORO FISIOL CONCARE/CONL 500ML|33079000|144.0|1.59|228.96|267.84|40.32|25|3.63|||||27.88
35180527849963000110550010001697621001692320|28|7896138700607||871962|SORO FISIOL CONCARE/CONL 100ML|33079000|72.0|1.15|82.80|97.92|15.12|25|2.47|||||27.88
35180527849963000110550010001697621001692320|29|7896181924739|1121304650026|144873|HEXAMEDINA+CLOR TETRACAINA 50ML|30049039|24.0|14.04|336.96|503.52|22.56|12|29.57|29.57|31.99|NEGATIVA|Genérico|41.36
35180527849963000110550010001697621001692320|30|7896331706970||199273|RELAFLEX SPORT AEROSOL|33049990|12.0|7.49|89.88|0.00|0.00|25|22.73|||||41.36
35180527849963000110550010001697621001692320|31|7896523200576|1438100570011|2006|CIMEGRIPE 20 S CIMED   T|30039055|120.0|1.9|228.00|68.40|7.20|18|18.66|nc|nc|NEGATIVA|Similar|25.56
35180527849963000110550010001697621001692320|32|7896523207537|1438100650021|5454|HIDROMED 25MG 30 S CIMED|30039089|200.0|0.81|162.00|360.00|22.00|18|4.35|9.46|10.15|POSITIVA|Similar|16.16
35180527849963000110550010001699481001694180|1|7893736012897||74575|SENNALAX 100GR CAZI|30049099|1.0|13.96|13.96|18.19|0.93|18|34.71|||||16.16
35180527849963000110550010001699481001694180|2|7896004715292|1023506300026|836379|ACETILCISTEINA EMS INF 120ML|30049099|5.0|5.8|29.00|87.80|8.00|12|25.05|nc|nc|NEGATIVA|Genérico|41.36
35180527849963000110550010001699481001694180|3|7896006259701|1049702260019|11866|HYTOS PLUS XPE 100ML UQ|30049039|5.0|6.61|33.05|90.30|13.80|18|21.25|19.65|21.25|NEGATIVA|Similar|25.56
35180527849963000110550010001699481001694180|4|7896714225616|1558401140031|877647|MAL DEXCL+BETA NQ 120ML|30049099|8.0|4.05|32.40|120.80|11.52|12|13.69|28.89|31.26|NEGATIVA|Genérico|41.36
35180527849963000110550010001699481001694180|5|7898216369652|1410701010019|199638|VAL BETAMETASONA PHARLAB CR 30G|30049099|2.0|4.9|9.80|32.70|3.22|12|22.68|22.68|24.53|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|1|0789606281760||91223|PARACETAMOL U.Q 750MG 20 S|30049045|85.0|1.3|110.50|0.00|0.00|12|15.87|||||41.36
35180527849963000110550010001699491001694195|2|7795320000849|1705600810012|2550|BERLISON 1% CR.15G INTENDIS|30043999|1.0|11.18|11.18|13.76|0.59|18|15.99|14.79|15.99|NEGATIVA|Novo (Referência)|41.36
35180527849963000110550010001699491001694195|3|7891106005524|1705600340075|753509|LEVITRA 10MG 1 S BAYER|30049079|1.0|18.23|18.23|25.71|1.78|18|29.64|27.41|29.64|NEGATIVA|Novo (Referência)|41.36
35180527849963000110550010001699491001694195|4|7891137003674||24372|VALDA DIET FIBRAS SACHES 18X24|21069060|1.0|72.06|72.06|||18|120.96|||||41.36
35180527849963000110550010001699491001694195|5|7891317433642|1004309450061|854059|CLOR CICLOBENZAP EUR 10MG 30 S|30049039|1.0|4.68|4.68|21.03|2.25|12|29.55|29.55|31.96|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|6|7891317448936|1004309870011|866921|DESOGEST+ETINIL EURO 20MG 21 S|30043937|1.0|6.13|6.13|15.23|1.15|12|26.24|26.24|28.16|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|7|7891721001970|1008900900246|111757|FLORATIL 200MG PED.6X1G MERCK|30049099|1.0|20.39|20.39|29.61|2.00|18|35.77|33.07|35.77|NEGATIVA|Biológicos|27.88
35180527849963000110550010001699491001694195|8|7894916143738||140640|CLOR RANIT. LEG XPE 120ML|30049059|1.0|5.62|5.62|19.80|1.92|12|34.71|||||27.88
35180527849963000110550010001699491001694195|9|7894916144209|1677304350127|138693|ATENOLOL LEGR 25MG 2BLT 15 COMP|30049042|2.0|0.74|1.48|6.60|0.64|12|12.91|13.31|14.28|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|10|7894916145718|1677305230028|140665|CLOR HIDROXIZINA XPE 120ML|30049099|5.0|5.1|25.50|103.00|10.60|12|29.08|29.08|31.46|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|11|7894916146074|1677304870147|140442|ATORVASTATINA C. LEG 40MG 30 COMP|30049069|2.0|17.55|35.10|140.24|14.34|12|122.97|122.97|131.97|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|12|7894916146388|1677304790021|140293|CARVEDILOL LEG 3,125MG 30 COMP|30049099|3.0|3.63|10.89|51.21|5.37|12|29.83|68.72|73.75|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|13|7894916500746|1356906170011|807925|SUCRAFILM 2G FLAC 20X10ML SIGM|30049099|1.0|60.29|60.29|69.84|2.26|18|83.39|77.1|83.39|NEGATIVA|Novo|27.88
35180527849963000110550010001699491001694195|14|7895296284042|1267500840041|862441|NISTATINA+OX.ZINCO NOVAQ 60GR|30049099|19.0|6.28|119.32|463.98|46.93|12|34.82|34.82|37.66|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|15|7896004702735||73825|GLICERIN SUP ADL 6UN EMS|30049099|1.0|5.76|5.76|15.16|2.05|18|18.44|||||41.36
35180527849963000110550010001699491001694195|16|7896004706368|1023506140045|754069|CLORTALIDONA EMS 25MG 60 S|30049076|1.0|8.42|8.42|13.61|0.89|12|23.87|23.87|25.62|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|17|7896004706573||758888|CELERGIN 20 S EMS|30049099|3.0|4.86|14.58|47.13|7.14|18|19.03|||||27.88
35180527849963000110550010001699491001694195|18|7896004707846|1677303160014|756213|PREVIANE 21 S LEGRAND|30066000|1.0|8.08|8.08|20.05|2.63|18|27.61|28.92|31.04|POSITIVA|Similar|16.16
35180527849963000110550010001699491001694195|19|7896004710891|1023505080197|789222|AAS EMS 100MG 30 S|30049024|1.0|2.67|2.67|5.49|0.39|12|7.84|7.84|8.47|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|20|7896004717999|1023503390059|768085|GEROVITAL 60 S EMS|30045090|2.0|29.84|59.68|77.80|3.98|18|199.14|nc|nc|NEGATIVA|Específico|41.36
35180527849963000110550010001699491001694195|21|7896004756875|1023511260029|160168|LISINA+CICLOBENZAPRINA EMS 15|30049069|1.0|11.55|11.55|17.28|0.78|12|24.46|24.46|26.46|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|22|7896006267072|1049713330013|113233|ACET HIDROCORTIZONA U.Q 20GR|30043290|3.0|3.2|9.60|21.51|1.74|12|10.17|10.18|11|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|23|7896015521622|1010700560729|70342|SAL DE FRUTA ABACAXI 100G GSK|30049029|1.0|12.03|12.03|16.62|1.03|18|19.64|48.21|52.15|NEGATIVA|Específico|41.36
35180527849963000110550010001699491001694195|24|7896094200432|1003300290144|17335|SUMAX  50MG 2 S LIBBS|30049079|1.0|19.34|19.34|21.42|0.54|18|28.93|26.96|28.93|POSITIVA|Novo|41.36
35180527849963000110550010001699491001694195|25|7896116801517||53983|DIANE 35 21 S SCHERING BRASIL|30043939|2.0|18.63|37.26|40.86|0.98|18|28.28|||||41.36
35180527849963000110550010001699491001694195|26|7896181906322|1121302910039|36889|LORATADINA BIOS 10MG 12 S|30049069|2.0|6.99|13.98|46.90|4.56|12|33.10|34.17|36.96|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|27|7896206402013|1161800760046|782821|PULMICORT 0,25MCG 5X2ML ASTRAZ|30043999|1.0|25.84|25.84|29.49|0.75|18|40.69|37.91|40.69|POSITIVA|Novo (Referência)|41.36
35180527849963000110550010001699491001694195|28|7896331700121|1068900130029|871715|SANASAR SB 80GR HERTZ|30049099|3.0|3.96|11.88|36.51|5.94|18|14.21|13.14|14.22|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|29|7896331702583|1068901530020|70540|ABC SPRAY HERTZ|30049099|2.0|8.45|16.90|52.56|8.44|18|30.80|28.48|30.8|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|30|7896422505352|1832601430012|35725|PROP CLOBETASOL MED PD 30G|30049099|3.0|3.53|10.59|30.03|2.61|12|17.49|17.49|18.77|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|31|7896422506823|1832600950012|801084|CETOCONAZOL MED SH 110ML|30049077|1.0|7.63|7.63|26.27|2.47|12|35.21|42.17|45.6|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|32|7896422507295|1832600970013|772277|CETOPROFENO MED 100MG 20 S|30049029|36.0|18.9|680.40|1155.96|66.60|12|32.90|32.9|35.31|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|33|7896422514286|1832601820074|801936|MAL ENALAPRIL MED 5MG 30S|30049067|1.0|3.41|3.41|12.89|1.17|12|17.47|29.18|31.31|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|34|7896523202600|1438100240028|13961|NARIX AD 30ML CIMED|30039079|48.0|1.13|54.24|277.44|46.56|18|6.90|6.52|7.05|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|35|7896523216461|1438100460079|96826|CIFLOGEX CEREJA 12 S CIMED|30039099|12.0|0.6|7.20|15.36|1.68|18|11.74|nc|nc|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|36|7896714201498|1046505060020|106435|MAL DEXCLORFEN NQ 2MG 20 S|30039049|15.0|1.8|27.00|105.75|10.65|12|9.68|10.14|10.96|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|37|7896714205830|1558405180070|831461|MAL ENALAPRIL NQ 5MG 30 S|30049067|2.0|2.94|5.88|19.18|1.84|12|16.82|18.44|19.8|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|38|7896714221083|1558403050080|137000|NEOCOFLA  AEROSOL 11,6G 85ML|30049037|1.0|9.43|9.43|26.95|4.31|18|32.94|30.47|32.95|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|39|7896714273006|1558403070065|809897|MASSAGEOL AEROSOL 120ML NEO Q|30049099|2.0|10.89|21.78|62.20|9.94|18|38.01|35.14|38.01|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|40|7896862920029|1091700760015|191155|GRIPINEW 20 S MEDQUIMICA|30045090|3.0|2.13|6.39|8.07|0.87|18|25.60|nc|nc|NEGATIVA|Similar|25.56
35180527849963000110550010001699491001694195|41|7897076915481|1235202230032|129288|GLICLAZIDA 30MG 60 S RANBAXY|30049079|4.0|18.8|75.20|97.20|4.64|12|37.84|37.84|40.6|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|42|7897595602510|1004703210031|810747|MESIL DOXAZOSINA SAND 2MG 30 S|30049079|1.0|6.65|6.65|24.68|2.46|12|42.76|42.76|45.88|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|43|7897595604163|1004702700175|824201|SINVASTACOR 40MG 30 S SANDOZ|30049059|1.0|7.84|7.84|15.00|1.75|18|52.41|48.84|52.41|POSITIVA|Similar|16.16
35180527849963000110550010001699491001694195|44|7897595611178|1004704760051|932517|CANDERSATAN CILEX 16MG 30 SAND|30049069|1.0|29.19|29.19|55.71|3.60|12|96.12|96.12|103.16|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|45|7897595617484|1004704590040|97477|DICLOR CETIRIZ.SANDOZ 10MG 12|30049069|1.0|6.24|6.24|22.66|2.24|12|32.30|32.3|34.93|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|46|7898148290550|1256801530109|116277|CAPTOPRIL PRATI 50MG 30 S|30049019|1.0|3.53|3.53|17.39|1.89|12|30.51|30.51|32.74|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|47|7898216366309|1410701080068|199612|SINVASTATINA PHARLAB 20MG 30 S|30049059|18.0|2.13|38.34|70.20|4.32|12|19.94|31.23|33.51|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|48|7898216367429|1410700970027|199463|ACICLOVIR PHARLAB 200MG 25 S|30049069|7.0|9.29|65.03|311.15|33.60|12|75.80|75.81|81.36|POSITIVA|Genérico|27.88
35180527849963000110550010001699491001694195|49|7898216369669|1410701010027|199646|VAL BETAMETASONA PHARLAB PD 30G|30049099|4.0|4.9|19.60|65.40|6.44|12|22.68|23.8|25.74|NEGATIVA|Genérico|41.36
35180527849963000110550010001699491001694195|50|7898414852420||128488|VARICELL GEL 300G DIVCOM|33049910|1.0|38.37|38.37|61.02|11.28|25|70.34|||||41.36
35180527849963000110550010001699491001694195|51|7898623350250||152181|VITACON DENT 30 CAPS CONLIFE|21069030|3.0|4.03|12.09|||18|40.21|||||41.36
35180527849963000110550010001699491001694195|52|7898623353251||187013|UNHA CLEAN 30ML MCG|30049099|6.0|4.3|25.80|0.00|0.00|18|38.40|||||41.36
35180527849963000110550010001699491001694195|53|7899547502565|1256800300177|115345|SULF SALBUTAMOL PRATI 120ML|30049099|14.0|1.51|21.14|44.80|3.22|12|5.59|5.57|5.99|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|1|7894916140508|1677302050029|849596|BEZAFIBRATO LEGRAND 200MG 20 S|30049099|8.0|6.76|54.08|108.40|7.44|12|23.49|23.49|25.2|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|2|7894916141345|1356902480073|139972|MAL DEXCL+BETA LEG 20 COMP|30049099|2.0|2.86|5.72|23.08|2.36|12|16.39|16.39|17.73|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|3|7894916141499|1677302700112|140855|DEXAMETASONA LEG 4MG 10 COMP|30043290|11.0|2.16|23.76|66.22|5.83|12|10.48|10.48|11.24|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|4|7894916143028|1677302670426|139915|MAL ENALAPRIL LEG  10MG 30 COMP|30049067|4.0|1.71|6.84|31.20|3.32|12|14.43|32.89|35.29|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|5|7894916143431|1356903560046|140681|CLOTRIMAZOL+DEXA LEG CR 40GR|30049099|4.0|4.94|19.76|61.80|5.76|12|21.64|21.64|23.41|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|6|7894916143479|1677303050049|140020|BROMOPRIDA LEG GTS 20ML|30049045|8.0|2.58|20.64|83.12|8.56|12|14.77|14.77|15.97|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|7|7894916143738||140640|CLOR RANIT. LEG XPE 120ML|30049059|1.0|5.62|5.62|19.80|1.92|12|34.71|||||41.36
35180527849963000110550010001700241001694947|8|7894916144025|1677304860028|140657|CLOR RANIT. LEG 150MG 20 COMP|30049059|1.0|3.66|3.66|14.63|1.50|12|25.35|25.35|27.21|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|9|7894916144537|1677302320018|140939|PARACETAMOL+CAF LEG 20 COMP|30049045|1.0|4.42|4.42|11.77|1.00|12|16.79|nc|nc|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|10|7894916145466|1677304940031|140236|CLOR DORZOLAMIDA+TIM LEG 5ML|30049099|3.0|29.59|88.77|135.54|6.39|12|77.67|77.67|83.35|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|11|7894916145596|1677300730030|141283|HIDROQUIN+TRET LEG CREME 15GR|30049099|1.0|22.3|22.30|45.93|3.22|12|65.27|66.13|71.53|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|12|7894916146791|1677301680320|144782|VALSARTANA LEG 160MG 30 COMP|30049099|1.0|9.67|9.67|24.71|2.05|12|41.98|95.5|102.48|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|13|7894916146807|1677304840175|140137|VALSARTANA LEG 320MG 30 COMP|30049099|5.0|15.89|79.45|144.20|8.85|12|48.62|95.5|102.48|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|14|7894916146852|1677303620147|140921|PREDNISOLONA LEG 20MG|30049099|9.0|2.83|25.47|75.69|6.84|12|14.64|15.51|16.64|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|15|7894916147705|1677304920039|140814|ESOMEPRAZOL LEG 20MG 28 COMP|30049099|1.0|33.04|33.04|55.54|3.49|12|97.39|97.39|104.53|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|16|7894916149662|1677304080049|179291|TADALAFILA 5MG 30 S LEGRAND|30049079|3.0|15.69|47.07|205.86|21.66|12|117.02|251.77|270.2|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|17|7895296048033|1267502310031|94623|DOMPERIDONA 10MG 30 S NOVAQ|30049099|1.0|2.38|2.38|10.40|1.09|12|14.73|14.73|15.93|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|18|7895296110037|1267501830031|178418|GLIMEPIRIDA NOVAQ 1MG 30 S|30049099|8.0|2.91|23.28|69.92|7.04|12|15.07|15.07|16.17|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|19|7895296192019|1356902010018|178475|SIMETICONA NOVAQ 125MG 10 S|30049099|1.0|3.35|3.35|12.80|1.99|18|16.17|17.18|18.44|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|20|7895296210324|1267501030025|94854|PROP CLOBETASOL NOVAQ CR 30GR|30049099|1.0|3.93|3.93|11.76|1.07|12|20.45|20.45|21.94|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|21|7895296210959|1267501090052|94599|DIPIRONA NOVAQ 500MG 24X10 S|30049099|2.0|35.11|70.22|178.82|14.80|12|126.96|nc|nc|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|22|7895296211062|1267502390025|862367|CLOR DILTIAZEM NOVAQ 30MG 50|30049099|1.0|5.31|5.31|9.70|0.60|12|16.81|16.96|18.21|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|23|7895296275040|1267500750040|94656|FINASTERIDA NOVAQ 1MG 30 S|30049099|7.0|8.72|61.04|289.52|31.15|12|58.61|102.11|110.44|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|24|7895296277174|1267500770173|94532|DEFLAZACORTE NOVAQ 30MG 10 S|30049099|1.0|30.35|30.35|54.75|3.33|12|95.32|95.32|102.29|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|25|7895296287012|1267500870011|94466|CETOCON+BETA+NEO NOVAQ PDA|30049099|5.0|5.12|25.60|93.10|9.20|12|26.42|26.62|28.79|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|26|7895296290012|1267500900018|94870|SIMETICONA NOVAQ 40MG 20 S|30049099|1.0|2.68|2.68|10.09|1.54|18|12.91|13.21|14.3|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|27|7895296352017|1267502000014|178426|DROSPIREN+ETINIL.3MG+0,02MG 24|30049099|4.0|12.5|50.00|107.92|7.88|12|46.75|46.78|50.21|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|28|7895858016814|1376401540019|74120|KWELL 60ML ASPEN|30049021|1.0|19.07|19.07|24.27|1.27|18|27.97|25.87|27.98|NEGATIVA|Novo (Referência)|27.88
35180527849963000110550010001700241001694947|29|7896004705385|1025306370032|799957|ALLEXOFEDRIN 180MG 10 S EMS|30049099|1.0|16.61|16.61|48.63|7.03|18|59.65|55.15|59.65|NEGATIVA|Similar|25.56
35180527849963000110550010001700241001694947|30|7896004711041|1058302850111|911982|ESPIRONOLACTONA GER 50MG 30 S|30043220|3.0|7.87|23.61|0.00|0.00|12|30.69|30.69|32.93|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|31|7896004712857||7765|VITAFER 50 S EMS|30045090|7.0|6.44|45.08|92.54|10.43|18|16.17|||||27.88
35180527849963000110550010001700241001694947|32|7896004726694|1677300780038|907238|SUAVICID CR 15G LEGRAND|30049099|2.0|20.72|41.44|127.16|18.86|18|76.45|110.7|119.72|NEGATIVA|Similar|25.56
35180527849963000110550010001700241001694947|33|7896004733326|1058306670035|915785|DESLORATADINA XPE 100ML GERMED|30049099|2.0|9.1|18.20|73.84|7.58|12|52.34|52.34|56.61|NEGATIVA|Genérico|41.36
35180527849963000110550010001700241001694947|34|7896004734347|1023510160012|25296|CICATENOL 30GR EMS|30049099|3.0|4.98|14.94|43.65|6.24|18|17.09|15.8|17.09|NEGATIVA|Específico|41.36
35180527849963000110550010001700241001694947|35|7896004815077||51300|NATUS GERIN 50 S LEGRAND|30044990|1.0|21.24|21.24|27.69|1.42|18|179.70|||||41.36
35180527849963000110550010001700241001694947|36|7896006209690|1049713230078|867184|VARFARINA SODICA 5MG 30 S U.Q|30049059|9.0|2.11|18.99|68.04|6.57|12|12.78|12.77|13.71|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|37|7896006213130||159012|COLACT 667MG/ML AMEIXA 120ML|21069090|1.0|4.75|4.75|||18|38.08|||||27.88
35180527849963000110550010001700241001694947|38|7896006257752|1049711490048|846832|FLUCISTEIN 200MG 15ENV UQ|30049059|4.0|7.6|30.40|115.80|18.96|18|33.00|nc|nc|NEGATIVA|Similar|25.56
35180527849963000110550010001700241001694947|39|7896006276159|1049713360011|884775|PREDNISONA UQ 20MG 10 S|30044990|20.0|1.76|35.20|225.80|24.00|12|19.10|19.09|20.49|POSITIVA|Genérico|27.88
35180527849963000110550010001700241001694947|40|7896015521684|1010700560664|67140|SAL DE FRUTA ABACAXI 30X2 ENV GSK|30049029|1.0|54.61|54.61|75.41|4.66|18|89.70|144.65|156.45|NEGATIVA|Específico|27.88
35180527849963000110550010001700241001694947|41|7896085860744||47142|CLOR NEBIVOLOL 5MG 30 S TORREN|30049079|9.0|31.73|285.57|421.38|18.36|12|64.92|||||27.88
35180527849963000110550010001700241001694947|42|7896094201811|1003300960263|784389|NAPRIX A 10/5MG 30 S LIBBS|30049069|1.0|36.47|36.47|39.73|0.92|18|54.92|51.18|54.92|POSITIVA|Novo (Referência)|27.88
35180527849963000110550010001700241001694947|43|7896094206366|1003300860102|1115|NAPRIX 5MG 30 S LIBBS|30049069|2.0|39.39|78.78|86.22|2.24|18|58.82|54.81|58.82|POSITIVA|Similar|16.16
35180527849963000110550010001700241001694947|44|7896094208278|1003301760012|134767|SUMAX PRO 50MG 2 S|30049079|1.0|21.09|21.09|22.92|0.52|18|31.67|29.52|31.67|POSITIVA|Novo (Referência)|16.16
35180527849963000110550010001700241001694947|45|7896094903036|1781700920036|767525|BENEGRIPE 25X6 S DM|30045090|3.0|137.32|411.96|579.00|37.20|18|225.50|nc|nc|NEGATIVA|Novo (Referência)|16.16
